Date,Open,High,Low,Close
1-Jan-20,41349.36,41443.52,41251.18,41306.02
2-Jan-20,41340.27,41649.29,41328.45,41626.64
3-Jan-20,41634.51,41636.18,41348.68,41464.61
6-Jan-20,41378.34,41378.34,40613.96,40676.63
7-Jan-20,40983.04,41230.14,40727.37,40869.47
8-Jan-20,40574.83,40866.36,40476.55,40817.74
9-Jan-20,41216.67,41482.12,41175.72,41452.35
10-Jan-20,41568.2,41775.11,41447.8,41599.72
13-Jan-20,41788.21,41899.63,41720.76,41859.69
14-Jan-20,41883.09,41994.26,41770.9,41952.63
15-Jan-20,41969.86,41969.86,41648.11,41872.73
16-Jan-20,41924.74,42059.45,41812.28,41932.56
17-Jan-20,41929.02,42063.93,41850.29,41945.37
20-Jan-20,42263,42273.87,41503.37,41528.91
21-Jan-20,41487.57,41532.59,41294.3,41323.81
22-Jan-20,41467.13,41532.29,41059.04,41115.38
23-Jan-20,41191.5,41413.96,41098.91,41386.4
24-Jan-20,41377.04,41697.03,41275.6,41613.19
27-Jan-20,41510.68,41516.27,41122.48,41155.12
28-Jan-20,41299.68,41333.25,40869.75,40966.86
29-Jan-20,41131.57,41334.86,41108.19,41198.66
30-Jan-20,41380.14,41380.14,40829.91,40913.82
31-Jan-20,41146.56,41154.49,40671.01,40723.49
1-Feb-20,40753.18,40905.78,39631.24,39735.53
3-Feb-20,39701.02,40014.9,39563.07,39872.31
4-Feb-20,40178.74,40818.94,40117.46,40789.38
5-Feb-20,40921.71,41177,40703.32,41142.66
6-Feb-20,41209.13,41405.43,41113.11,41306.03
7-Feb-20,41394.41,41394.41,41073.36,41141.85
10-Feb-20,41166.72,41172.06,40798.98,40979.62
11-Feb-20,41183.39,41444.34,41179.14,41216.14
12-Feb-20,41330.85,41671.86,41330.85,41565.9
13-Feb-20,41707.21,41709.3,41338.31,41459.79
14-Feb-20,41510.19,41702.36,41183.13,41257.74
17-Feb-20,41324.04,41420.34,41030.58,41055.69
18-Feb-20,41042.46,41042.46,40610.95,40894.38
19-Feb-20,41121.51,41357.16,41048.93,41323
20-Feb-20,41334.96,41399.93,41134.31,41170.12
24-Feb-20,41037.01,41037.01,40306.36,40363.23
25-Feb-20,40497.72,40536,40220.59,40281.2
26-Feb-20,40194.89,40255.39,39760.39,39888.96
27-Feb-20,39947.8,39947.8,39423.27,39745.66
28-Feb-20,39087.47,39087.47,38219.97,38297.29
2-Mar-20,38910.95,39083.17,37785.99,38144.02
3-Mar-20,38480.89,38754.24,38142.3,38623.7
