PEOPLE_POSITIVE_CASES_COUNT,REPORT_DATE,PEOPLE_DEATH_NEW_COUNT,COUNTRY_SHORT_NAME,PEOPLE_POSITIVE_NEW_CASES_COUNT,PEOPLE_DEATH_COUNT
102051,7/29/20,63,Indonesia,1748,4901
2810,7/29/20,0,Sri Lanka,5,11
276288,7/29/20,27,Pakistan,1063,5892
92947,7/29/20,39,Egypt,465,4691
2483191,7/29/20,921,Brazil,40816,88539
229185,7/29/20,35,Bangladesh,2960,3000
1531669,7/29/20,768,India,48513,34193
226225,7/28/20,37,Bangladesh,2772,2965
92482,7/28/20,46,Egypt,420,4652
2442375,7/28/20,614,Brazil,23284,87618
275225,7/28/20,23,Pakistan,936,5865
100303,7/28/20,57,Indonesia,1525,4838
2805,7/28/20,0,Sri Lanka,23,11
1483156,7/28/20,654,India,47703,33425
223453,7/27/20,54,Bangladesh,2275,2928
2419091,7/27/20,555,Brazil,24578,87004
92062,7/27/20,48,Egypt,479,4606
98778,7/27/20,67,Indonesia,1492,4781
274289,7/27/20,20,Pakistan,1176,5842
2782,7/27/20,0,Sri Lanka,12,11
1435453,7/27/20,708,India,49931,32771
2770,7/26/20,0,Sri Lanka,6,11
273113,7/26/20,35,Pakistan,1226,5822
221178,7/26/20,38,Bangladesh,2520,2874
91583,7/26/20,40,Egypt,511,4558
2394513,7/26/20,1211,Brazil,51147,86449
97286,7/26/20,49,Indonesia,1868,4714
1385522,7/26/20,705,India,48661,32063
2343366,7/25/20,1156,Brazil,55891,85238
95418,7/25/20,89,Indonesia,1761,4665
2764,7/25/20,0,Sri Lanka,11,11
218658,7/25/20,35,Bangladesh,2548,2836
271887,7/25/20,24,Pakistan,1487,5787
91072,7/25/20,38,Egypt,659,4518
1336861,7/25/20,757,India,48916,31358
93657,7/24/20,117,Indonesia,1906,4576
270400,7/24/20,54,Pakistan,1209,5763
2287475,7/24/20,1311,Brazil,59961,84082
2753,7/24/20,0,Sri Lanka,1,11
216110,7/24/20,50,Bangladesh,2856,2801
1287945,7/24/20,740,India,49310,30601
90413,7/24/20,40,Egypt,668,4480
91751,7/23/20,139,Indonesia,1882,4459
2752,7/23/20,0,Sri Lanka,22,11
2227514,7/23/20,1284,Brazil,67860,82771
269191,7/23/20,32,Pakistan,1763,5709
213254,7/23/20,42,Bangladesh,2744,2751
89745,7/23/20,41,Egypt,667,4440
1238635,7/23/20,1129,India,45720,29861
267428,7/22/20,38,Pakistan,1332,5677
210510,7/22/20,41,Bangladesh,3057,2709
2159654,7/22/20,1367,Brazil,41008,81487
89869,7/22/20,81,Indonesia,1655,4320
2730,7/22/20,0,Sri Lanka,0,11
89078,7/22/20,47,Egypt,676,4399
1192915,7/22/20,648,India,37724,28732
2118646,7/21/20,632,Brazil,20257,80120
2730,7/21/20,0,Sri Lanka,6,11
88214,7/21/20,96,Indonesia,1693,4239
207453,7/21/20,50,Bangladesh,2928,2668
266096,7/21/20,40,Pakistan,1013,5639
88402,7/21/20,50,Egypt,627,4352
1155191,7/21/20,587,India,37148,28084
86521,7/20/20,127,Indonesia,1639,4143
2724,7/20/20,0,Sri Lanka,20,11
204525,7/20/20,37,Bangladesh,2459,2618
2098389,7/20/20,716,Brazil,23529,79488
265083,7/20/20,31,Pakistan,1587,5599
87775,7/20/20,51,Egypt,603,4302
1118043,7/20/20,681,India,40425,27497
87172,7/19/20,63,Egypt,698,4251
84882,7/19/20,59,Indonesia,1752,4016
2074860,7/19/20,921,Brazil,28532,78772
263496,7/19/20,46,Pakistan,1579,5568
2704,7/19/20,0,Sri Lanka,7,11
202066,7/19/20,34,Bangladesh,2709,2581
1077618,7/19/20,543,India,38902,26816
261917,7/18/20,47,Pakistan,1918,5522
86474,7/18/20,68,Egypt,703,4188
2046328,7/18/20,1163,Brazil,34177,77851
2697,7/18/20,0,Sri Lanka,10,11
199357,7/18/20,51,Bangladesh,3034,2547
1038716,7/18/20,671,India,34884,26273
83130,7/18/20,84,Indonesia,1462,3957
259999,7/17/20,49,Pakistan,2085,5475
2687,7/17/20,0,Sri Lanka,13,11
81668,7/17/20,76,Indonesia,1574,3873
85771,7/17/20,53,Egypt,928,4120
196323,7/17/20,39,Bangladesh,2733,2496
2012151,7/17/20,1322,Brazil,45403,76688
1003832,7/17/20,687,India,34956,25602
2674,7/16/20,0,Sri Lanka,9,11
84843,7/16/20,59,Egypt,913,4067
80094,7/16/20,87,Indonesia,1522,3797
257914,7/16/20,40,Pakistan,2145,5426
193590,7/16/20,33,Bangladesh,3533,2457
1966748,7/16/20,1233,Brazil,39924,75366
968876,7/16/20,606,India,32695,24915
83930,7/15/20,73,Egypt,929,4008
255769,7/15/20,66,Pakistan,2165,5386
2665,7/15/20,0,Sri Lanka,19,11
190057,7/15/20,33,Bangladesh,3163,2424
78572,7/15/20,54,Indonesia,1591,3710
936181,7/15/20,582,India,29429,24309
1926824,7/15/20,1300,Brazil,41857,74133
186894,7/14/20,39,Bangladesh,3099,2391
1884967,7/14/20,733,Brazil,20286,72833
83001,7/14/20,166,Egypt,1843,3935
2646,7/14/20,0,Sri Lanka,29,11
76981,7/14/20,50,Indonesia,1282,3656
906752,7/14/20,553,India,28498,23727
253604,7/14/20,54,Pakistan,1979,5320
2617,7/13/20,0,Sri Lanka,106,11
75699,7/13/20,71,Indonesia,1681,3606
1864681,7/13/20,631,Brazil,24831,72100
183795,7/13/20,47,Bangladesh,2666,2352
251625,7/13/20,69,Pakistan,2753,5266
878254,7/13/20,500,India,28701,23174
81158,7/13/20,0,Egypt,0,3769
1839850,7/12/20,1071,Brazil,39023,71469
74018,7/12/20,66,Indonesia,1671,3535
2511,7/12/20,0,Sri Lanka,57,11
81158,7/12/20,67,Egypt,923,3769
181129,7/12/20,30,Bangladesh,2686,2305
248872,7/12/20,74,Pakistan,2521,5197
849553,7/12/20,551,India,28637,22674
246351,7/11/20,65,Pakistan,2752,5123
80235,7/11/20,85,Egypt,981,3702
178443,7/11/20,37,Bangladesh,2949,2275
1800827,7/11/20,1214,Brazil,45048,70398
72347,7/11/20,52,Indonesia,1611,3469
820916,7/11/20,519,India,27114,22123
2454,7/11/20,0,Sri Lanka,104,11
1755779,7/10/20,1220,Brazil,42619,69184
175494,7/10/20,41,Bangladesh,3360,2238
70736,7/10/20,58,Indonesia,2657,3417
243599,7/10/20,75,Pakistan,2751,5058
79254,7/10/20,53,Egypt,950,3617
793802,7/10/20,475,India,26506,21604
2350,7/10/20,0,Sri Lanka,256,11
68079,7/9/20,50,Indonesia,1853,3359
1713160,7/9/20,1223,Brazil,44571,67964
78304,7/9/20,75,Egypt,1025,3564
2094,7/9/20,0,Sri Lanka,13,11
240848,7/9/20,61,Pakistan,3359,4983
172134,7/9/20,46,Bangladesh,3489,2197
767296,7/9/20,487,India,24879,21129
77279,7/8/20,67,Egypt,1057,3489
168645,7/8/20,55,Bangladesh,3027,2151
1668589,7/8/20,1254,Brazil,45305,66741
2081,7/8/20,0,Sri Lanka,3,11
237489,7/8/20,83,Pakistan,2980,4922
66226,7/8/20,68,Indonesia,1268,3309
742417,7/8/20,482,India,22752,20642
2078,7/7/20,0,Sri Lanka,2,11
165618,7/7/20,44,Bangladesh,3201,2096
1623284,7/7/20,620,Brazil,20229,65487
234509,7/7/20,77,Pakistan,2691,4839
76222,7/7/20,79,Egypt,969,3422
719665,7/7/20,467,India,22252,20160
64958,7/7/20,70,Indonesia,1209,3241
63749,7/6/20,82,Indonesia,1607,3171
1603055,7/6/20,602,Brazil,26051,64867
162417,7/6/20,55,Bangladesh,2738,2052
2076,7/6/20,0,Sri Lanka,2,11
75253,7/6/20,63,Egypt,1218,3343
697413,7/6/20,425,India,24248,19693
231818,7/6/20,50,Pakistan,3344,4762
228474,7/5/20,93,Pakistan,3191,4712
74035,7/5/20,79,Egypt,1324,3280
2074,7/5/20,0,Sri Lanka,5,11
159679,7/5/20,29,Bangladesh,3288,1997
673165,7/5/20,613,India,24850,19268
62142,7/5/20,53,Indonesia,1447,3089
1577004,7/5/20,1091,Brazil,37923,64265
156391,7/4/20,42,Bangladesh,3114,1968
72711,7/4/20,81,Egypt,1412,3201
1539081,7/4/20,1290,Brazil,42223,63174
225283,7/4/20,68,Pakistan,3387,4619
648315,7/4/20,442,India,22771,18655
60695,7/4/20,49,Indonesia,1301,3036
2069,7/4/20,0,Sri Lanka,3,11
59394,7/3/20,53,Indonesia,1624,2987
153277,7/3/20,38,Bangladesh,4019,1926
71299,7/3/20,86,Egypt,1485,3120
221896,7/3/20,78,Pakistan,4087,4551
625544,7/3/20,379,India,20903,18213
2066,7/3/20,0,Sri Lanka,12,11
1496858,7/3/20,1252,Brazil,48105,61884
2054,7/2/20,0,Sri Lanka,7,11
57770,7/2/20,58,Indonesia,1385,2934
149258,7/2/20,41,Bangladesh,3775,1888
69814,7/2/20,81,Egypt,1503,3034
1448753,7/2/20,1038,Brazil,46712,60632
604641,7/2/20,434,India,19148,17834
217809,7/2/20,78,Pakistan,4339,4473
56385,7/1/20,71,Indonesia,1293,2876
1402041,7/1/20,1280,Brazil,33846,59594
145483,7/1/20,64,Bangladesh,3682,1847
213470,7/1/20,91,Pakistan,4133,4395
68311,7/1/20,81,Egypt,1557,2953
2047,7/1/20,0,Sri Lanka,5,11
585493,7/1/20,507,India,18653,17400
141801,6/30/20,45,Bangladesh,4014,1783
55092,6/30/20,51,Indonesia,1082,2805
66754,6/30/20,83,Egypt,1566,2872
1368195,6/30/20,692,Brazil,24052,58314
209337,6/30/20,137,Pakistan,2825,4304
566840,6/30/20,418,India,18522,16893
2042,6/30/20,0,Sri Lanka,5,11
65188,6/29/20,81,Egypt,1265,2789
2037,6/29/20,0,Sri Lanka,4,11
1344143,6/29/20,552,Brazil,30476,57622
206512,6/29/20,49,Pakistan,3557,4167
137787,6/29/20,43,Bangladesh,3809,1738
54010,6/29/20,34,Indonesia,1198,2754
548318,6/29/20,380,India,19459,16475
52812,6/28/20,37,Indonesia,1385,2720
133978,6/28/20,34,Bangladesh,3504,1695
1313667,6/28/20,1109,Brazil,38693,57070
528859,6/28/20,410,India,19906,16095
63923,6/28/20,88,Egypt,1168,2708
202955,6/28/20,83,Pakistan,4072,4118
2033,6/28/20,0,Sri Lanka,19,11
130474,6/27/20,40,Bangladesh,3868,1661
1274974,6/27/20,990,Brazil,46860,55961
198883,6/27/20,73,Pakistan,3138,4035
62755,6/27/20,87,Egypt,1625,2620
508953,6/27/20,384,India,18552,15685
51427,6/27/20,63,Indonesia,1240,2683
2014,6/27/20,0,Sri Lanka,4,11
126606,6/26/20,39,Bangladesh,3946,1621
2010,6/26/20,0,Sri Lanka,9,11
195745,6/26/20,59,Pakistan,2775,3962
61130,6/26/20,168,Egypt,2989,2533
50187,6/26/20,47,Indonesia,1178,2620
1228114,6/26/20,1141,Brazil,39483,54971
490401,6/26/20,407,India,17296,15301
122660,6/25/20,37,Bangladesh,3462,1582
58141,6/25/20,0,Egypt,0,2365
49009,6/25/20,38,Indonesia,1113,2573
192970,6/25/20,148,Pakistan,4044,3903
2001,6/25/20,0,Sri Lanka,10,11
473105,6/25/20,418,India,16922,14894
1188631,6/25/20,1185,Brazil,42725,53830
1145906,6/24/20,1374,Brazil,39436,52645
1991,6/24/20,0,Sri Lanka,40,11
58141,6/24/20,87,Egypt,1332,2365
188926,6/24/20,60,Pakistan,3892,3755
456183,6/24/20,465,India,15968,14476
47896,6/24/20,35,Indonesia,1051,2535
119198,6/24/20,43,Bangladesh,3412,1545
46845,6/23/20,35,Indonesia,954,2500
56809,6/23/20,85,Egypt,1576,2278
185034,6/23/20,105,Pakistan,3946,3695
1106470,6/23/20,654,Brazil,21432,51271
1951,6/23/20,0,Sri Lanka,1,11
440215,6/23/20,312,India,14933,14011
115786,6/23/20,38,Bangladesh,3480,1502
1950,6/22/20,0,Sri Lanka,0,11
55233,6/22/20,87,Egypt,1475,2193
425282,6/22/20,445,India,14821,13699
