iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
BGD,Asia,Bangladesh,3/4/20,,,,,,,,,,,,,,108,0.001,,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/5/20,,,,,,,,,,,,,3,111,0.001,0,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/6/20,,,,,,,,,,,,,,,,,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/7/20,,,,,,,,,,,,,,120,0.001,,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/8/20,,,,,,,,,,,,,7,127,0.001,0,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/9/20,3,3,,0,0,,0.018,0.018,,0,0,,10,137,0.001,0,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/10/20,,,,,,,,,,,,,10,147,0.001,0,,,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/11/20,,,,,,,,,,,,,16,163,0.001,0,8,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/12/20,,,,,,,,,,,,,24,187,0.001,0,11,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/13/20,,,,,,,,,,,,,24,211,0.001,0,14,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/14/20,,,,,,,,,,,,,30,241,0.001,0,17,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/15/20,3,0,0.429,0,0,0,0.018,0,0.003,0,0,0,27,268,0.002,0,20,0,,,samples tested,13.89,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/16/20,,,0,,,0,,,0,,,0,25,293,0.002,0,22,0,,0,samples tested,33.33,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/17/20,5,2,0.286,0,0,0,0.03,0.012,0.002,0,0,0,49,342,0.002,0,28,0,98,0.01,samples tested,33.33,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/18/20,8,3,0.714,0,0,0,0.049,0.018,0.004,0,0,0,39,381,0.002,0,31,0,43.4,0.023,samples tested,33.33,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/19/20,10,2,1,0,0,0,0.061,0.012,0.006,0,0,0,46,427,0.003,0,34,0,34,0.029,samples tested,75.93,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/20/20,10,0,1,0,0,0,0.061,0,0.006,0,0,0,36,463,0.003,0,36,0,36,0.028,samples tested,75.93,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/21/20,17,7,2,0,0,0,0.103,0.043,0.012,0,0,0,36,499,0.003,0,37,0,18.5,0.054,samples tested,81.48,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/22/20,24,7,3,2,2,0.286,0.146,0.043,0.018,0.012,0.012,0.002,65,564,0.003,0,42,0,14,0.071,samples tested,81.48,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/23/20,27,3,3.429,3,1,0.429,0.164,0.018,0.021,0.018,0.006,0.003,56,620,0.004,0,47,0,13.708,0.073,samples tested,81.48,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
BGD,Asia,Bangladesh,3/24/20,33,6,4,3,0,0.429,0.2,0.036,0.024,0.018,0,0.003,92,712,0.004,0.001,53,0,13.25,0.075,samples tested,81.48,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.608
